"ADMIN_DATE","MVX","Daily_Count"
2020-12-12,PFR,3
2020-12-13,PFR,2
2020-12-14,PFR,3
2020-12-15,MOD,1
2020-12-15,PFR,134
2020-12-16,PFR,1194
2020-12-17,PFR,2344
2020-12-18,PFR,3186
2020-12-19,PFR,897
2020-12-20,MOD,2
2020-12-20,PFR,408
2020-12-21,MOD,7
2020-12-21,PFR,1902
2020-12-22,MOD,95
2020-12-22,PFR,1282
2020-12-23,MOD,424
2020-12-23,PFR,1810
2020-12-24,MOD,156
2020-12-24,PFR,285
2020-12-25,MOD,1
2020-12-26,MOD,4
2020-12-26,PFR,128
2020-12-27,MOD,4
2020-12-27,PFR,16
2020-12-28,MOD,284
2020-12-28,PFR,1425
2020-12-29,MOD,1115
2020-12-29,PFR,1227
2020-12-30,JSN,1
2020-12-30,MOD,946
2020-12-30,PFR,1590
2020-12-31,MOD,756
2020-12-31,PFR,786
2021-01-01,MOD,40
2021-01-01,NVX,1
2021-01-01,PFR,26
2021-01-02,MOD,32
2021-01-02,PFR,166
2021-01-03,MOD,68
2021-01-03,PFR,94
2021-01-04,ASZ,1
2021-01-04,MOD,1035
2021-01-04,PFR,1025
2021-01-05,MOD,1162
2021-01-05,PFR,1618
2021-01-06,MOD,1644
2021-01-06,PFR,2915
2021-01-07,MOD,2373
2021-01-07,PFR,3143
2021-01-08,MOD,2241
2021-01-08,PFR,3965
2021-01-09,MOD,622
2021-01-09,PFR,1493
2021-01-10,MOD,30
2021-01-10,PFR,1226
2021-01-11,MOD,2284
2021-01-11,PFR,2920
2021-01-12,MOD,3246
2021-01-12,PFR,3259
2021-01-13,MOD,3146
2021-01-13,PFR,3571
2021-01-14,MOD,4573
2021-01-14,PFR,2506
2021-01-15,JSN,1
2021-01-15,MOD,3885
2021-01-15,PFR,3100
2021-01-16,MOD,2375
2021-01-16,PFR,1591
2021-01-17,MOD,182
2021-01-17,PFR,505
2021-01-18,MOD,744
2021-01-18,PFR,1487
2021-01-19,MOD,2660
2021-01-19,PFR,2477
2021-01-20,MOD,2459
2021-01-20,PFR,2804
2021-01-21,MOD,2900
2021-01-21,PFR,2608
2021-01-22,MOD,1387
2021-01-22,PFR,2490
2021-01-23,MOD,1409
2021-01-23,PFR,1896
2021-01-24,MOD,33
2021-01-24,PFR,72
2021-01-25,ASZ,1
2021-01-25,MOD,1184
2021-01-25,PFR,2536
2021-01-26,MOD,2347
2021-01-26,PFR,2688
2021-01-27,MOD,1918
2021-01-27,PFR,3241
2021-01-28,MOD,1973
2021-01-28,PFR,2659
2021-01-29,ASZ,1
2021-01-29,MOD,1145
2021-01-29,PFR,2828
2021-01-30,JSN,1
2021-01-30,MOD,949
